metric,count,mean,median,std,min,max
body_chars,10,144.300000,60.500000,202.909969,0.000000,619.000000
changed_files,10,1.000000,1.000000,0.000000,1.000000,1.000000
additions,10,6.800000,1.000000,11.123549,0.000000,31.000000
deletions,10,0.900000,0.500000,1.197219,0.000000,3.000000
total_changes,10,7.700000,2.000000,10.832564,1.000000,31.000000
issue_comments,10,0.500000,0.000000,1.080123,0.000000,3.000000
review_comments,10,0.000000,0.000000,0.000000,0.000000,0.000000
total_comments,10,0.500000,0.000000,1.080123,0.000000,3.000000
human_review_count,10,0.400000,0.000000,0.516398,0.000000,1.000000
participant_count,10,1.500000,1.500000,0.527046,1.000000,2.000000
analysis_hours,10,815.424528,148.347500,1817.378558,0.000000,5928.261667
