owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
sherlock-project,sherlock,sherlock-project/sherlock,1819,https://github.com/sherlock-project/sherlock/pull/1819,Update sites.md,CLOSED,2023-06-21T21:25:47Z,2025-10-11T16:48:14Z,2025-10-11T16:48:14Z,20227.374167,8,1,2,1,3,0,0,0,2,3,COMMENTED,neutral,APPROVED|COMMENTED,badboy9128|matheusfelipeog,yes,collateralusr,,1505,10,95,0.050000
sherlock-project,sherlock,sherlock-project/sherlock,998,https://github.com/sherlock-project/sherlock/pull/998,Add Pixabay to supported sites,CLOSED,2021-03-11T19:15:59Z,2025-10-07T11:55:51Z,2025-10-07T11:55:51Z,40096.664444,127,1,8,1,9,2,0,2,0,1,NO_REVIEW,no_review,,,no,Myzel394,,1505,10,95,0.050000
sherlock-project,sherlock,sherlock-project/sherlock,2117,https://github.com/sherlock-project/sherlock/pull/2117,Add CODEOWNERS,MERGED,2024-05-11T06:22:32Z,2024-05-15T19:44:11Z,2024-05-15T19:44:11Z,109.360833,945,1,10,0,10,0,0,0,0,1,NO_REVIEW,no_review,,,no,ppfeister,2024-05-15T19:44:11Z,1505,10,95,0.050000
sherlock-project,sherlock,sherlock-project/sherlock,1338,https://github.com/sherlock-project/sherlock/pull/1338,feat: add json schema validation,CLOSED,2022-05-08T06:41:19Z,2024-05-07T20:22:14Z,2024-05-07T20:22:14Z,17533.681944,1135,4,231,86,317,0,0,0,0,1,NO_REVIEW,no_review,,,no,SethFalco,,1505,10,95,0.050000
sherlock-project,sherlock,sherlock-project/sherlock,1689,https://github.com/sherlock-project/sherlock/pull/1689,Added many sites that were in the PR queue,MERGED,2023-02-16T16:56:55Z,2023-02-16T21:59:46Z,2023-02-16T21:59:46Z,5.047500,329,2,86,1,87,0,0,0,0,1,NO_REVIEW,no_review,,,no,sdushantha,2023-02-16T16:57:57Z,1505,10,95,0.050000
sherlock-project,sherlock,sherlock-project/sherlock,1661,https://github.com/sherlock-project/sherlock/pull/1661,Add support for removed site Codeforces,MERGED,2023-01-11T13:02:01Z,2023-02-04T17:51:35Z,2023-02-04T17:51:35Z,580.826111,168,1,8,0,8,1,0,1,1,2,APPROVED,positive,APPROVED,sdushantha,yes,a-r-r-o-w,2023-02-04T17:51:35Z,1505,10,95,0.050000
sherlock-project,sherlock,sherlock-project/sherlock,1288,https://github.com/sherlock-project/sherlock/pull/1288,TradingView resource data has been fixed ,MERGED,2022-04-03T17:46:19Z,2022-04-04T15:24:58Z,2022-04-04T15:24:58Z,21.644167,5,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,nickspring,2022-04-04T15:24:57Z,1505,10,95,0.050000
sherlock-project,sherlock,sherlock-project/sherlock,950,https://github.com/sherlock-project/sherlock/pull/950,Update Twitter detection algorithm,CLOSED,2021-01-20T21:53:23Z,2021-12-25T16:35:31Z,2021-12-25T16:35:31Z,8130.702222,166,1,2,1,3,0,0,0,1,2,COMMENTED,neutral,COMMENTED,RealFinalCode,yes,pauljmartinez,,1505,10,95,0.050000
sherlock-project,sherlock,sherlock-project/sherlock,729,https://github.com/sherlock-project/sherlock/pull/729,Adding line break at the end of the generated file,MERGED,2020-08-18T22:51:09Z,2020-08-19T04:24:09Z,2020-08-19T04:24:09Z,5.550000,0,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,liestrela,2020-08-19T04:24:09Z,1505,10,95,0.050000
sherlock-project,sherlock,sherlock-project/sherlock,19,https://github.com/sherlock-project/sherlock/pull/19,speedup request using threads pool,CLOSED,2018-12-27T07:29:40Z,2019-01-02T13:14:26Z,2019-01-02T13:14:26Z,149.746111,0,2,63,47,110,7,0,7,0,1,NO_REVIEW,no_review,,,no,weaming,,1505,10,95,0.050000
